WP, 22, 1981092018,   , MTWC,   0,  82N, 1563E,  15,    0, DB
WP, 22, 1981092100,   , MTWC,   0,  83N, 1558E,  15,    0, DB
WP, 22, 1981092106,   , MTWC,   0,  84N, 1553E,  15,    0, DB
WP, 22, 1981092112,   , MTWC,   0,  85N, 1547E,  15,    0, DB
WP, 22, 1981092118,   , MTWC,   0,  86N, 1541E,  20,    0, DB
WP, 22, 1981092200,   , MTWC,   0,  87N, 1536E,  20,    0, DB
WP, 22, 1981092206,   , MTWC,   0,  88N, 1529E,  20,    0, DB
WP, 22, 1981092212,   , MTWC,   0,  89N, 1521E,  25,    0, TD
WP, 22, 1981092218,   , MTWC,   0,  90N, 1513E,  25,    0, TD
WP, 22, 1981092300,   , MTWC,   0,  91N, 1505E,  30,    0, TD
WP, 22, 1981092306,   , MTWC,   0,  93N, 1496E,  30,    0, TD
WP, 22, 1981092312,   , MTWC,   0,  95N, 1485E,  30,    0, TD
WP, 22, 1981092318,   , MTWC,   0,  98N, 1475E,  35,    0, TS
WP, 22, 1981092400,   , MTWC,   0, 102N, 1466E,  30,    0, TD
WP, 22, 1981092406,   , MTWC,   0, 105N, 1460E,  30,    0, TD
WP, 22, 1981092412,   , MTWC,   0, 109N, 1454E,  35,    0, TS
WP, 22, 1981092418,   , MTWC,   0, 112N, 1448E,  45,    0, TS
WP, 22, 1981092500,   , MTWC,   0, 115N, 1441E,  50,    0, TS
WP, 22, 1981092506,   , MTWC,   0, 118N, 1432E,  65,    0, TY
WP, 22, 1981092512,   , MTWC,   0, 122N, 1422E,  75,    0, TY
WP, 22, 1981092518,   , MTWC,   0, 125N, 1413E,  90,    0, TY
WP, 22, 1981092600,   , MTWC,   0, 127N, 1402E,  85,    0, TY
WP, 22, 1981092606,   , MTWC,   0, 130N, 1393E,  75,    0, TY
WP, 22, 1981092612,   , MTWC,   0, 132N, 1384E,  95,    0, TY
WP, 22, 1981092618,   , MTWC,   0, 135N, 1377E, 115,    0, TY
WP, 22, 1981092700,   , MTWC,   0, 140N, 1370E, 130,    0, ST
WP, 22, 1981092706,   , MTWC,   0, 147N, 1369E, 155,    0, ST
WP, 22, 1981092712,   , MTWC,   0, 154N, 1365E, 165,    0, ST
WP, 22, 1981092718,   , MTWC,   0, 162N, 1359E, 150,    0, ST
WP, 22, 1981092800,   , MTWC,   0, 167N, 1353E, 140,    0, ST
WP, 22, 1981092806,   , MTWC,   0, 171N, 1350E, 132,    0, ST
WP, 22, 1981092812,   , MTWC,   0, 178N, 1346E, 138,    0, ST
WP, 22, 1981092818,   , MTWC,   0, 186N, 1342E, 130,    0, ST
WP, 22, 1981092900,   , MTWC,   0, 196N, 1337E, 120,    0, TY
WP, 22, 1981092906,   , MTWC,   0, 205N, 1332E, 110,    0, TY
WP, 22, 1981092912,   , MTWC,   0, 214N, 1326E, 120,    0, TY
WP, 22, 1981092918,   , MTWC,   0, 223N, 1322E, 125,    0, TY
WP, 22, 1981093000,   , MTWC,   0, 232N, 1319E, 115,    0, TY
WP, 22, 1981093006,   , MTWC,   0, 243N, 1317E, 100,    0, TY
WP, 22, 1981093012,   , MTWC,   0, 254N, 1318E,  95,    0, TY
WP, 22, 1981093018,   , MTWC,   0, 265N, 1324E,  90,    0, TY
WP, 22, 1981100100,   , MTWC,   0, 276N, 1335E,  85,    0, TY
WP, 22, 1981100106,   , MTWC,   0, 288N, 1353E,  80,    0, TY
WP, 22, 1981100112,   , MTWC,   0, 301N, 1375E,  70,    0, TY
WP, 22, 1981100118,   , MTWC,   0, 315N, 1403E,  70,    0, TY
WP, 22, 1981100200,   , MTWC,   0, 333N, 1440E,  65,    0, TY
WP, 22, 1981100206,   , MTWC,   0, 357N, 1484E,  55,    0, TS
WP, 22, 1981100212,   , MTWC,   0, 386N, 1526E,  55,    0, TS
WP, 22, 1981100218,   , MTWC,   0, 421N, 1555E,  55,    0, EX
WP, 22, 1981100300,   , MTWC,   0, 462N, 1548E,  65,    0, EX
WP, 22, 1981100306,   , MTWC,   0, 475N, 1540E,  65,    0, EX
WP, 22, 1981100312,   , MTWC,   0, 480N, 1550E,  65,    0, EX
WP, 22, 1981100318,   , MTWC,   0, 490N, 1555E,  65,    0, EX
WP, 22, 1981100400,   , MTWC,   0, 500N, 1555E,  65,    0, EX
WP, 22, 1981100406,   , MTWC,   0, 505N, 1560E,  65,    0, EX
WP, 22, 1981100412,   , MTWC,   0, 513N, 1570E,  65,    0, EX
WP, 22, 1981100418,   , MTWC,   0, 525N, 1575E,  65,    0, EX
WP, 22, 1981100500,   , MTWC,   0, 530N, 1580E,  65,    0, EX
